# See https://docs.google.com/spreadsheets/d/1R0kmzRs3btFZcWRfsheqLeF0G5GYKoZZUIkQ8iqqokw/edit#gid=0,,,,,,,,,,
First,Middle,Last,Data,Graphic,Write,Edit,Discuss,ORCID,Affiliation1,Affiliation2,Affiliation3
Kenneth,D.,Mankoff,1,1,1,1,1,0000-0001-5453-2019,NASA Goddard Institute for Space Studies New York NY 10025 USA,Autonomic Integra LLC New York NY 10025 USA,
Chad,A.,Greene,1,,,1,1,0000-0001-6710-6297,Jet Propulsion Laboratory California Institute of Technology Pasadena CA USA,,
Benjamin,,Davison,1,,,1,1,0000-0001-9483-2956,"School of Geography and Planning, University of Sheffield, Sheffield, UK",,
Désirée,,Treichler,,,,1,1,0000-0002-2758-9885,"Department of Geography, University of Oslo, Oslo, Norway",,
Will,,Kochtitzky,,,,1,1,0000-0001-9487-1509,"University of New England, Biddeford, Maine, USA",,
Brice,Van,Liefferinge,1,,,,,0000-0001-7495-1771,"Laboratoire de Glaciologie, Université libre de Bruxelles (ULB), Brussels, Belgium",,
Genyu,,Wang,1,,,,,0009-0009-9186-1327,Nanjing University,,
Chang-Qing,,Ke,1,,,,,0000-0003-0212-4069,Nanjing University,,
Xavier,,Fettweis,1,,,,1,0000-0002-4140-3813,"SPHERES research units, Geography Department, University of Liège, Liège, Belgium",,
Thorben,,Döhne,1,,,1,1,0000-0002-1917-2027,"TUD Dresden University of Technology, Dresden, Germany",,
Damien,,Ringeisen,,1,,,1,0000-0002-8436-6928,NASA Goddard Institute for Space Studies New York NY 10025 USA,"Center for Climate Systems Research, Columbia University, New York, NY, USA","Now at: Canadian Centre for Climate Modelling and Analysis, Environment and Climate Change Canada (ECCC), Victoria, British Columbia, Canada."
Alex,Sandy,Gardner,,,,1,1,0000-0002-8394-8889,Jet Propulsion Laboratory California Institute of Technology Pasadena CA USA,,
Robert,,Fausto,,,,,1,0000-0003-1317-8185,"Geological Survey of Denmark and Greenland, Copenhagen, Denmark",,
