Label,Description,Value,cite_key
DR,Drift,200,TODO
RFZ,Refreeze (after melt),275,fettweis_2020
SF,Snowfall,630,fettweis_2020
RF,Rainfall,35,fettweis_2020
RF-LIQ,Rainfall runoff,10,fettweis_2020
CD,Condensation,30,TODO
DP,Deposition,20,TODO
FRET,Frontal retreat,50,kochtitzky_2023
GZRET,Grounding line retreat,10,TODO
SU,Sublimation,60,fettweis_2020
RU,Runoff,640,fettweis_2020
DYN,Dynamics,500,mankoff_2020_solid
ICE,Icebergs,250,enderlin_2013
SUB,Submarine melt,250,enderlin_2013
EV,Evaporation,35,TODO
BM,Basal melt,25,karlsson_2021
